Terrence Jones 	$6.2K	5	23	42.1	0	7.36	38.64	80.00%	40.00%	40.00%	40.00%	40.00%
Norris Cole 	$4.2K	12	16.33	28.4	1.5	7.12	25.54	58.00%	58.00%	58.00%	42.00%	33.00%
Gerald Green 	$4.9K	13	19.59	38.6	0.2	7.74	31.44	69.00%	69.00%	46.00%	31.00%	31.00%
Shabazz Muhammad 	$3.9K	10	12.38	28.1	1.2	3.06	21.7	50.00%	40.00%	30.00%	30.00%	30.00%
Elfrid Payton 	$4.6K	14	18.44	32.7	5.5	8.97	27.9	86.00%	57.00%	50.00%	36.00%	29.00%
Devin Harris 	$4.3K	11	19.53	27.5	8.7	13.28	25.77	100.00%	82.00%	73.00%	36.00%	27.00%
Corey Brewer 	$4.7K	11	19.37	30.4	1.2	9.65	29.09	82.00%	73.00%	55.00%	55.00%	27.00%
Mario Chalmers 	$5.3K	12	22.95	37.7	8.2	13.49	32.41	92.00%	75.00%	58.00%	42.00%	25.00%
Jarrett Jack 	$4.6K	12	19.63	30.9	7.9	12.43	26.83	92.00%	75.00%	50.00%	33.00%	25.00%
Carl Landry 	$3.9K	12	15.83	26.1	6.8	9.31	22.34	83.00%	67.00%	50.00%	33.00%	25.00%
Kris Humphries 	$4.1K	8	16.89	27.3	4.4	8.29	25.48	75.00%	63.00%	63.00%	38.00%	25.00%
Tony Wroten 	$6.8K	12	31.73	47.6	11.7	19.11	44.36	92.00%	75.00%	67.00%	50.00%	25.00%
Aron Baynes 	$3.6K	12	12.63	28.4	-1	3.87	21.38	75.00%	42.00%	25.00%	25.00%	25.00%
Bojan Bogdanovic 	$4.3K	12	15.26	33.7	1	5.41	25.1	75.00%	58.00%	33.00%	25.00%	25.00%
Al-Farouq Aminu 	$3.8K	13	14.18	30.5	1.4	4.83	23.52	77.00%	46.00%	38.00%	31.00%	23.00%
Samuel Dalembert 	$3.7K	13	12.92	26.4	2.2	4.78	21.06	69.00%	54.00%	46.00%	31.00%	23.00%
Isaiah Thomas 	$5.8K	13	24.67	45.1	9.2	13.43	35.9	92.00%	62.00%	54.00%	38.00%	23.00%
Alex Len 	$4.0K	13	14.67	35.7	2	5.08	24.25	69.00%	54.00%	38.00%	23.00%	23.00%
Shane Larkin 	$3.5K	13	13.3	25.9	0.5	6.7	19.9	85.00%	69.00%	38.00%	23.00%	23.00%
Kevin Martin 	$6.6K	9	27.48	46.8	2.9	12.62	42.33	78.00%	67.00%	56.00%	44.00%	22.00%
Kevin Seraphin 	$3.5K	9	12.23	26.7	1.5	4.84	19.62	78.00%	44.00%	33.00%	22.00%	22.00%
Alexey Shved 	$3.6K	9	15.6	29.1	7.5	8.75	22.45	100.00%	67.00%	33.00%	33.00%	22.00%
Quincy Acy 	$3.7K	10	13.28	28.1	4.6	6.11	20.45	80.00%	50.00%	40.00%	20.00%	20.00%
Manu Ginobili 	$5.0K	11	20.32	32.4	4.2	11.29	29.34	82.00%	73.00%	64.00%	36.00%	18.00%
John Wall 	$9.1K	11	40.85	56.2	20.1	28.5	53.21	100.00%	82.00%	55.00%	45.00%	18.00%
Paul Pierce 	$5.7K	11	23.53	35.5	12.6	17.16	29.9	100.00%	91.00%	45.00%	18.00%	18.00%
Anderson Varejao 	$4.9K	11	22.26	37.2	5.8	14.56	29.97	91.00%	91.00%	64.00%	36.00%	18.00%
Tristan Thompson 	$4.7K	11	18.17	38.6	7.8	9.28	27.06	82.00%	64.00%	36.00%	18.00%	18.00%
Austin Rivers 	$3.5K	11	13.68	28.1	6	6.63	20.74	82.00%	64.00%	36.00%	18.00%	18.00%
Garrett Temple 	$4.2K	11	17.24	33.4	4.9	8.92	25.56	82.00%	82.00%	36.00%	27.00%	18.00%
Otto Porter 	$4.3K	11	15.76	31.5	2	7.55	23.97	82.00%	55.00%	55.00%	18.00%	18.00%
Danny Green 	$4.4K	12	19.88	35.1	6.8	12.25	27.5	92.00%	83.00%	67.00%	42.00%	17.00%
Ricky Rubio 	$6.8K	6	25.43	42.6	0	11.13	39.74	83.00%	67.00%	50.00%	33.00%	17.00%
Greivis Vasquez 	$3.8K	12	14.83	27.8	6.4	8.59	21.07	92.00%	75.00%	42.00%	17.00%	17.00%
Zaza Pachulia 	$4.2K	12	15.45	35.6	2.9	6.16	24.74	67.00%	50.00%	42.00%	17.00%	17.00%
Roy Hibbert 	$6.8K	12	31.04	44.2	8.6	20.57	41.51	92.00%	75.00%	75.00%	50.00%	17.00%
Lavoy Allen 	$4.5K	12	20.42	38.5	8	12.6	28.23	92.00%	83.00%	58.00%	33.00%	17.00%
Cory Joseph 	$3.7K	12	14.41	24	5.2	8.22	20.6	83.00%	67.00%	50.00%	25.00%	17.00%
