Louis Williams 	$4.6K	3	32.13	48.3	19.9	20.21	44.06	100.00%	100.00%	100.00%	67.00%	67.00%
Nikola Mirotic 	$3.7K	3	25.53	37.2	16	16.75	34.32	100.00%	100.00%	100.00%	67.00%	67.00%
Ian Mahinmi 	$3.9K	2	25.2	31.5	18.9	18.9	31.5	100.00%	100.00%	100.00%	50.00%	50.00%
Greivis Vasquez 	$3.7K	3	15.63	24.4	10.1	9.36	21.9	100.00%	67.00%	33.00%	33.00%	33.00%
Gordon Hayward 	$7.5K	3	29.63	48.1	20	16.57	42.7	100.00%	33.00%	33.00%	33.00%	33.00%
Taj Gibson 	$5.9K	3	26.87	41	14.5	15.98	37.76	100.00%	67.00%	67.00%	33.00%	33.00%
Amir Johnson 	$5.0K	3	19	30.3	10.8	10.74	27.26	100.00%	67.00%	33.00%	33.00%	33.00%
Enes Kanter 	$5.3K	3	22.77	33	11.8	14.1	31.44	100.00%	67.00%	67.00%	33.00%	33.00%
Tobias Harris 	$7.2K	3	40.93	48	32.1	34.32	47.54	100.00%	100.00%	100.00%	67.00%	33.00%
Iman Shumpert 	$5.7K	3	24.27	45.6	7.3	8.33	40.2	67.00%	67.00%	33.00%	33.00%	33.00%
Alec Burks 	$5.8K	3	23.13	44.3	11.8	8.15	38.11	100.00%	33.00%	33.00%	33.00%	33.00%
Alexey Shved 	$3.5K	3	12.67	24.5	6	4.28	21.06	67.00%	33.00%	33.00%	33.00%	33.00%
Tim Hardaway Jr. 	$3.8K	3	11.53	28.4	-1	-0.85	23.92	33.00%	33.00%	33.00%	33.00%	33.00%
Rudy Gobert 	$3.7K	3	19.3	25.5	14	14.56	24.04	100.00%	100.00%	67.00%	33.00%	33.00%
Kostas Papanikolaou 	$4.4K	3	24.3	29.2	20.3	20.61	27.99	100.00%	100.00%	100.00%	67.00%	33.00%
Gerald Henderson 	$4.0K	4	14.58	27.5	2.9	5.81	23.34	75.00%	75.00%	25.00%	25.00%	25.00%
Goran Dragic 	$6.7K	4	22.68	40.7	10.5	11.57	33.78	75.00%	50.00%	25.00%	25.00%	25.00%
Jameer Nelson 	$4.6K	4	21.38	28.4	11.4	14.95	27.8	100.00%	75.00%	75.00%	50.00%	25.00%
Brandan Wright 	$4.6K	4	24.53	33.2	18.6	18.99	30.06	100.00%	100.00%	100.00%	50.00%	25.00%
Matt Barnes 	$3.6K	4	13.45	26.5	7.9	5.78	21.12	100.00%	50.00%	25.00%	25.00%	25.00%
Al-Farouq Aminu 	$3.6K	4	15.23	26.2	4.2	6.54	23.91	75.00%	50.00%	50.00%	50.00%	25.00%
Anderson Varejao 	$5.1K	4	25.18	37.2	5.8	13.46	36.89	75.00%	75.00%	75.00%	75.00%	25.00%
Spencer Hawes 	$4.3K	4	18.25	26.7	12.8	12.96	23.54	100.00%	75.00%	50.00%	25.00%	25.00%
Nikola Vucevic 	$9.0K	4	42.25	56.9	29	32.01	52.49	100.00%	100.00%	75.00%	50.00%	25.00%
Markieff Morris 	$6.7K	4	32.3	52.9	22.8	20.25	44.35	100.00%	100.00%	50.00%	25.00%	25.00%
Marcus Morris 	$4.6K	4	16	29.5	9.7	7.95	24.05	100.00%	50.00%	25.00%	25.00%	25.00%
Chandler Parsons 	$6.2K	4	25.23	38.8	15.1	16.34	34.11	100.00%	75.00%	50.00%	25.00%	25.00%
Isaiah Thomas 	$5.7K	4	21.6	41.6	11.6	9.35	33.85	100.00%	50.00%	25.00%	25.00%	25.00%
Dion Waiters 	$4.3K	4	14.83	26.9	7.4	7.25	22.4	75.00%	50.00%	25.00%	25.00%	25.00%
Cody Zeller 	$3.5K	4	13.98	21.9	7.4	8.63	19.32	100.00%	75.00%	50.00%	25.00%	25.00%
Alex Len 	$4.0K	4	17.75	26.4	12.3	11.85	23.65	100.00%	100.00%	50.00%	50.00%	25.00%
Jordan Farmar 	$3.5K	4	9.65	25.1	3.9	0.71	18.59	25.00%	25.00%	25.00%	25.00%	25.00%
Nerlens Noel 	$5.9K	4	22.93	36.4	10	12.2	33.65	75.00%	50.00%	50.00%	50.00%	25.00%
K.J. McDaniels 	$3.9K	4	14.75	24.6	8	8.37	21.13	100.00%	50.00%	50.00%	25.00%	25.00%
Ty Lawson 	N/A	4	37.9	42.2	30.1	33.23	42.57	0.00%	0.00%	0.00%	0.00%	0.00%
